ID;Exist in 500k;Time in Array 500;Time in ListFirst 500;Time in list last 500;Exist in 1M;Time in Array 1M;Time in ListFirst 1M;Time in list last 1M;Exist in 3M;Time in Array 3M;Time in ListFirst 3M;Time in list last 3M 
95859975;false;0;0;0;false;0;28;29;false;52;152;158
70058795;false;0;0;0;false;0;28;29;false;51;152;157
62474149;false;0;0;0;true;0;1;29;false;54;0;158
30873487;false;0;0;0;false;0;28;28;false;50;153;157
53334857;false;0;0;0;false;0;28;29;false;51;151;158
37204654;false;0;0;0;false;0;29;28;false;51;150;157
70923901;false;0;0;0;true;0;0;28;false;51;1;158
31159427;false;0;0;0;false;0;30;29;false;50;152;157
24542272;false;0;0;0;false;0;30;28;false;50;151;158
40137090;false;0;0;0;true;0;0;28;false;50;0;158
58923096;false;0;0;0;false;0;29;29;false;52;150;157
39576119;false;0;0;0;false;0;30;28;false;51;151;158
24087186;false;0;0;0;false;0;32;29;false;51;152;156
27776428;false;0;0;0;true;0;0;28;false;51;0;158
228854;false;0;0;0;true;0;1;28;false;51;0;157
74629185;false;0;0;0;false;0;31;29;false;51;150;157
13686534;false;0;0;0;false;0;31;29;false;51;151;157
36284258;false;0;0;0;true;0;1;27;false;51;0;158
14836399;false;0;0;0;true;0;0;29;false;51;0;157
98520929;false;0;0;0;false;0;32;29;false;51;152;157
72466721;false;0;0;0;false;0;32;29;false;51;151;157
79561907;false;0;0;0;true;0;1;27;false;52;0;157
55278412;false;0;0;0;false;0;31;29;false;53;151;158
28097345;false;0;0;0;false;0;32;29;false;51;152;157
85656910;false;0;0;0;true;0;0;28;false;51;0;158
17618792;false;0;0;0;false;0;31;29;false;50;152;157
15934963;false;0;0;0;false;0;31;28;false;51;151;158
51995360;false;0;0;0;true;0;1;28;false;50;0;158
4274793;false;0;0;0;false;0;31;29;false;50;150;157
12160345;false;0;0;0;false;0;32;28;false;50;153;157
55406516;false;0;0;0;false;0;31;29;false;49;151;157
10571551;false;0;0;0;true;0;1;28;false;51;1;158
28777523;false;0;0;0;false;0;32;29;false;51;152;156
79372020;false;0;0;0;false;0;31;28;false;51;152;157
43339555;false;0;0;0;true;0;0;28;false;51;0;157
96357263;false;0;0;0;false;0;32;29;false;52;151;158
17953335;false;0;0;0;false;0;22;28;false;52;152;157
72540398;false;0;0;0;true;0;0;28;false;52;0;157
49223419;false;0;0;0;false;0;32;29;false;52;152;158
24667604;false;0;0;0;false;0;31;29;false;51;152;156
70446737;false;0;0;0;false;0;38;29;false;51;151;156
89492421;false;0;0;0;true;0;0;28;true;10;0;34
91516803;false;0;0;0;false;0;31;28;false;53;152;146
56545110;false;0;0;0;true;0;0;28;false;52;0;163
