ID;Exist in 500k;Time in Array 500;Time in ListFirst 500;Time in list last 500;Exist in 1M;Time in Array 1M;Time in ListFirst 1M;Time in list last 1M;Exist in 3M;Time in Array 3M;Time in ListFirst 3M;Time in list last 3M 
82181276;false;0;0;0;false;0;0;0;false;0;0;0
23339354;false;0;0;0;false;0;0;0;false;0;0;0
40641831;false;0;0;0;false;0;0;0;false;0;0;0
37961961;false;0;0;0;false;0;0;0;false;0;0;0
66594468;false;0;0;0;false;0;0;0;false;0;0;0
32940778;false;0;0;0;false;0;0;0;false;0;0;0
65015868;false;0;0;0;false;0;0;0;false;0;0;0
46119309;false;0;0;0;false;0;0;0;false;0;0;0
32770791;false;0;0;0;false;0;0;0;false;0;0;0
80317669;false;0;0;0;false;0;0;0;false;0;0;0
58202732;false;0;0;0;false;0;0;0;false;0;0;0
26464286;false;0;0;0;false;0;0;0;false;0;0;0
30004615;false;0;0;0;false;0;0;0;false;0;0;0
84452253;false;0;0;0;false;0;0;0;false;0;0;0
8823186;false;0;0;0;false;0;0;0;false;0;0;0
57058730;false;0;0;0;false;0;0;0;false;0;0;0
44083345;false;0;0;0;false;0;0;0;false;0;0;0
42766148;false;0;0;0;false;0;0;0;false;0;0;0
31435569;false;0;0;0;false;0;0;0;false;0;0;0
71406492;false;0;0;0;false;0;0;0;false;0;0;0
1882738;false;0;0;0;false;0;0;0;false;0;0;0
8476935;false;0;0;0;false;0;0;0;false;0;0;0
23408558;false;0;0;0;false;0;0;0;false;0;0;0
76008671;false;0;0;0;false;0;0;0;false;0;0;0
43241466;false;0;0;0;false;0;0;0;false;0;0;0
77240146;false;0;0;0;false;0;0;0;false;0;0;0
97191815;false;0;0;0;false;0;0;0;false;0;0;0
37807850;false;0;0;0;false;0;0;0;false;0;0;0
30914524;false;0;0;0;false;0;0;0;false;0;0;0
3629610;false;0;0;0;false;0;0;0;false;0;0;0
56285369;false;0;0;0;false;0;0;0;false;0;0;0
686084;false;0;0;0;false;0;0;0;false;0;0;0
55614604;false;0;0;0;false;0;0;0;false;0;0;0
55713078;false;0;0;0;false;0;0;0;false;0;0;0
71837824;false;0;0;0;false;0;0;0;false;0;0;0
56405683;false;0;0;0;false;0;0;0;false;0;0;0
56371375;false;0;0;0;false;0;0;0;false;0;0;0
94254219;false;0;0;0;false;0;0;0;false;0;0;0
74447197;false;0;0;0;false;0;0;0;false;0;0;0
20535079;false;0;0;0;false;0;0;0;false;0;0;0
26623227;false;0;0;0;false;0;0;0;false;0;0;0
38259748;false;0;0;0;false;0;0;0;false;0;0;0
46356497;false;0;0;0;false;0;0;0;false;0;0;0
62092738;false;0;0;0;false;0;0;0;false;0;0;0
92389173;false;0;0;0;false;0;0;0;false;0;0;0
6393210;false;0;0;0;false;0;0;0;false;0;0;0
5996468;false;0;0;0;false;0;0;0;false;0;0;0
99840291;false;0;0;0;false;0;0;0;false;0;0;0
17745486;false;0;0;0;false;0;0;0;false;0;0;0
36090246;false;0;0;0;false;0;0;0;false;0;0;0
39360676;false;0;0;0;false;0;0;0;false;0;0;0
17994808;false;0;0;0;false;0;0;0;false;0;0;0
47514071;false;0;0;0;false;0;0;0;false;0;0;0
39768758;false;0;0;0;false;0;0;0;false;0;0;0
33159702;false;0;0;0;false;0;0;0;false;0;0;0
80123239;false;0;0;0;false;0;0;0;false;0;0;0
67710175;false;0;0;0;false;0;0;0;false;0;0;0
49111798;false;0;0;0;false;0;0;0;false;0;0;0
5696377;false;0;0;0;false;0;0;0;false;0;0;0
54350933;false;0;0;0;false;0;0;0;false;0;0;0
46124263;false;0;0;0;false;0;0;0;false;0;0;0
9539303;false;0;0;0;false;0;0;0;false;0;0;0
51311946;false;0;0;0;false;0;0;0;false;0;0;0
72070697;false;0;0;0;false;0;0;0;false;0;0;0
78497819;false;0;0;0;false;0;0;0;false;0;0;0
83837786;false;0;0;0;false;0;0;0;false;0;0;0
13351712;false;0;0;0;false;0;0;0;false;0;0;0
14512745;false;0;0;0;false;0;0;0;false;0;0;0
55620596;false;0;0;0;false;0;0;0;false;0;0;0
47951900;false;0;0;0;false;0;0;0;false;0;0;0
32755607;false;0;0;0;false;0;0;0;false;0;0;0
35706460;false;0;0;0;false;0;0;0;false;0;0;0
15293177;false;0;0;0;false;0;0;0;false;0;0;0
25723644;false;0;0;0;false;0;0;0;false;0;0;0
17559225;false;0;0;0;false;0;0;0;false;0;0;0
95493804;false;0;0;0;false;0;0;0;false;0;0;0
59998786;false;0;0;0;false;0;0;0;false;0;0;0
91689005;false;0;0;0;false;0;0;0;false;0;0;0
4625369;false;0;0;0;false;0;0;0;false;0;0;0
4697460;false;0;0;0;false;0;0;0;false;0;0;0
84834765;false;0;0;0;false;0;0;0;false;0;0;0
5244072;false;0;0;0;false;0;0;0;false;0;0;0
17983277;false;0;0;0;false;0;0;0;false;0;0;0
80347014;false;0;0;0;false;0;0;0;false;0;0;0
95900882;false;0;0;0;false;0;0;0;false;0;0;0
7008568;false;0;0;0;false;0;0;0;false;0;0;0
56067016;false;0;0;0;false;0;0;0;false;0;0;0
59767302;false;0;0;0;false;0;0;0;false;0;0;0
53872095;false;0;0;0;false;0;0;0;false;0;0;0
53566051;false;0;0;0;false;0;0;0;false;0;0;0
40650402;false;0;0;0;false;0;0;0;false;0;0;0
41513298;false;0;0;0;false;0;0;0;false;0;0;0
14171424;false;0;0;0;false;0;0;0;false;0;0;0
85777138;false;0;0;0;false;0;0;0;false;0;0;0
89153845;false;0;0;0;false;0;0;0;false;0;0;0
89241751;false;0;0;0;false;0;0;0;false;0;0;0
88050090;false;0;0;0;false;0;0;0;false;0;0;0
66524168;false;0;0;0;false;0;0;0;false;0;0;0
81760679;false;0;0;0;false;0;0;0;false;0;0;0
57433820;false;0;0;0;false;0;0;0;false;0;0;0
18710549;false;0;0;0;false;0;0;0;false;0;0;0
1891650;false;0;0;0;false;0;0;0;false;0;0;0
6308218;false;0;0;0;false;0;0;0;false;0;0;0
13765442;false;0;0;0;false;0;0;0;false;0;0;0
46364508;false;0;0;0;false;0;0;0;false;0;0;0
61830232;false;0;0;0;false;0;0;0;false;0;0;0
22027096;false;0;0;0;false;0;0;0;false;0;0;0
24576298;false;0;0;0;false;0;0;0;false;0;0;0
28652222;false;0;0;0;false;0;0;0;false;0;0;0
49967069;false;0;0;0;false;0;0;0;false;0;0;0
8028658;false;0;0;0;false;0;0;0;false;0;0;0
1823152;false;0;0;0;false;0;0;0;false;0;0;0
8786622;false;0;0;0;false;0;0;0;false;0;0;0
7140244;false;0;0;0;false;0;0;0;false;0;0;0
93380852;false;0;0;0;false;0;0;0;false;0;0;0
74568608;false;0;0;0;false;0;0;0;false;0;0;0
91502096;false;0;0;0;false;0;0;0;false;0;0;0
88268731;false;0;0;0;false;0;0;0;false;0;0;0
41880859;false;0;0;0;false;0;0;0;false;0;0;0
57433586;false;0;0;0;false;0;0;0;false;0;0;0
68708509;false;0;0;0;false;0;0;0;false;0;0;0
35318811;false;0;0;0;false;0;0;0;false;0;0;0
37339298;false;0;0;0;false;0;0;0;false;0;0;0
79561907;false;0;0;0;false;0;0;0;false;0;0;0
70063204;false;0;0;0;false;0;0;0;false;0;0;0
53925860;false;0;0;0;false;0;0;0;false;0;0;0
56576070;false;0;0;0;false;0;0;0;false;0;0;0
12849459;false;0;0;0;false;0;0;0;false;0;0;0
61865069;false;0;0;0;false;0;0;0;false;0;0;0
46346700;false;0;0;0;false;0;0;0;false;0;0;0
27960453;false;0;0;0;false;0;0;0;false;0;0;0
62947629;false;0;0;0;false;0;0;0;false;0;0;0
63313810;false;0;0;0;false;0;0;0;false;0;0;0
19632276;false;0;0;0;false;0;0;0;false;0;0;0
53479503;false;0;0;0;false;0;0;0;false;0;0;0
72491990;false;0;0;0;false;0;0;0;false;0;0;0
12661673;false;0;0;0;false;0;0;0;false;0;0;0
35786542;false;0;0;0;false;0;0;0;false;0;0;0
76070996;false;0;0;0;false;0;0;0;false;0;0;0
63996691;false;0;0;0;false;0;0;0;false;0;0;0
94964185;false;0;0;0;false;0;0;0;false;0;0;0
67568555;false;0;0;0;false;0;0;0;false;0;0;0
86072522;false;0;0;0;false;0;0;0;false;0;0;0
36548613;false;0;0;0;false;0;0;0;false;0;0;0
49508150;false;0;0;0;false;0;0;0;false;0;0;0
66165369;false;0;0;0;false;0;0;0;false;0;0;0
66586366;false;0;0;0;false;0;0;0;false;0;0;0
86422443;false;0;0;0;false;0;0;0;false;0;0;0
2689515;false;0;0;0;false;0;0;0;false;0;0;0
45175317;false;0;0;0;false;0;0;0;false;0;0;0
53994873;false;0;0;0;false;0;0;0;false;0;0;0
29815004;false;0;0;0;false;0;0;0;false;0;0;0
20411045;false;0;0;0;false;0;0;0;false;0;0;0
36670244;false;0;0;0;false;0;0;0;false;0;0;0
80626615;false;0;0;0;false;0;0;0;false;0;0;0
77678168;false;0;0;0;false;0;0;0;false;0;0;0
49112674;false;0;0;0;false;0;0;0;false;0;0;0
30307307;false;0;0;0;false;0;0;0;false;0;0;0
36284258;false;0;0;0;false;0;0;0;false;0;0;0
41524258;false;0;0;0;false;0;0;0;false;0;0;0
13779385;false;0;0;0;false;0;0;0;false;0;0;0
71968126;false;0;0;0;false;0;0;0;false;0;0;0
23489092;false;0;0;0;false;0;0;0;false;0;0;0
3503403;false;0;0;0;false;0;0;0;false;0;0;0
99364907;false;0;0;0;false;0;0;0;false;0;0;0
31814879;false;0;0;0;false;0;0;0;false;0;0;0
45579269;false;0;0;0;false;0;0;0;false;0;0;0
14696834;false;0;0;0;false;0;0;0;false;0;0;0
34095554;false;0;0;0;false;0;0;0;false;0;0;0
3640459;false;0;0;0;false;0;0;0;false;0;0;0
58996142;false;0;0;0;false;0;0;0;false;0;0;0
33401149;false;0;0;0;false;0;0;0;false;0;0;0
77209277;false;0;0;0;false;0;0;0;false;0;0;0
86294710;false;0;0;0;false;0;0;0;false;0;0;0
72081930;false;0;0;0;false;0;0;0;false;0;0;0
68403538;false;0;0;0;false;0;0;0;false;0;0;0
56182749;false;0;0;0;false;0;0;0;false;0;0;0
79814631;false;0;0;0;false;0;0;0;false;0;0;0
55712655;false;0;0;0;false;0;0;0;false;0;0;0
15785471;false;0;0;0;false;0;0;0;false;0;0;0
54695931;false;0;0;0;false;0;0;0;false;0;0;0
98523564;false;0;0;0;false;0;0;0;false;0;0;0
